AchievementSwitchChecker (AchievementSwitchChecker)
BossFire3PipeInner (FixMapParts)
BossFire3StepA (FixMapParts)
BossFire3StepB (FixMapParts)
BossFire3TouchBrockA (AssistSlideMapParts)
BossFire3TouchBrockB (AssistSlideMapParts)
BossFire3TouchBrockC (AssistSlideMapParts)
BossFire3TouchBrockD (AssistSlideMapParts)
BossFire3WallRockA (BackHideMapParts)
BossFire3WallRockB (BackHideMapParts)
BossFire3WallRockC (BackHideMapParts)
BossFireKeyMovePartsA (AssistStopKeyMoveMapParts)
BossFireKeyMovePartsB (AssistStopKeyMoveMapParts)
BossFireKeyMovePartsC (AssistStopKeyMoveMapParts)
BossFireStep (FixMapParts)
BossFireStepBreak1 (BreakMapPartsSwitchOnly)
BossFireStepBreak1Lv2 (BreakMapPartsSwitchOnly)
BossFireStepBreak1Lv3 (BreakMapPartsSwitchOnly)
BossFireStepBreak2 (BreakMapPartsSwitchOnly)
BossFireStepBreak2Lv2 (BreakMapPartsSwitchOnly)
BossFireStepBreak2Lv3 (BreakMapPartsSwitchOnly)
BossFireStepBreak3 (BreakMapPartsSwitchOnly)
BossFireStepBreak3Lv2 (BreakMapPartsSwitchOnly)
BossFireStepBreak3Lv3 (BreakMapPartsSwitchOnly)
BossFireStepBreak4 (BreakMapPartsSwitchOnly)
BossFireWallRockA (BackHideMapParts)
BossFireWallRockB (BackHideMapParts)
BossFireWallRockC (BackHideMapParts)
Bull (Bull)
Bush (Bush)
CameraArea (CameraArea)
CameraDirectionSwitchOnAreaWatcher (CameraDirectionSwitchOnAreaWatcher)
CameraIconDisplayArea (CameraIconDisplayArea)
CameraRestrictedArea (CameraRestrictedArea)
CameraShake (CameraShake)
CameraShakeRandom (CameraShakeRandom)
CameraStopLookAtArea (CameraStopLookAtArea)
Candlestand (Candlestand)
CandlestandWatcher (CandlestandWatcher)
CherryTowerCarpetA (FixMapPartsCarpet)
CherryTowerCarpetB (FixMapPartsCarpet)
CherryTowerKeyMovePartsA (KeyMoveStartAction)
CherryTowerKeyMovePartsD (KeyMoveMapParts)
CherryTowerRippleEffect (VisibleSwitchMapParts)
CherryTowerStepA (FixMapParts)
ChikaChikaBlockWatcher (ChikaChikaBlockWatcher)
ChikaChikaBrosStep (FixMapParts)
ChikuwaBlock (ChikuwaBlock)
ChikuwaFallStepA (FixMapParts)
Chorobon (ChorobonHolder)
CityWorldBuildingB (FixMapParts)
CityWorldBuildingC (FixMapParts)
CityWorldCoverA (VisibleSwitchMapParts)
CityWorldCoverB (VisibleSwitchMapParts)
CityWorldCoverC (VisibleSwitchMapParts)
CityWorldFlag (FixMapParts)
CityWorldGatePartsA (GateMapParts)
CityWorldGotogoton (KeyMoveMapParts)
CityWorldGroundSealA (FixMapParts)
CityWorldKeyMovePartsA (KeyMoveMapParts)
CityWorldLiftA (KeyMoveMapParts)
CityWorldManhole (AssistSlideMapParts)
CityWorldSpotLight (FixMapParts)
CityWorldUnderPartsB (FixMapParts)
ClimbTowerLiftA (GateMapParts)
ClockDiscClearParts (ClockMapParts)
ClockDiscClockParts (ClockMapParts)
ClockDiscStep (FixMapParts)
Cloud (FixMapParts)
Coin (Coin)
CoinBlowGenerator (CoinBlowGenerator)
CoinCirclePlacement (CoinCirclePlacement)
CoinLine (CoinLine)
CoinRail (CoinRail)
CoinStack (CoinStack)
CoinTransparent (CoinChameleon)
ColGraphicsArea (GraphicsArea)
CollectItem (CollectItem)
CollisionArea (CollisionArea)
CommonLeaf (FixMapParts)
CommonLeafB (FixMapParts)
CountDownTimer (CountDownTimer)
Crab (Crab)
Crawler (Crawler)
CullingGroupArea (CullingGroupArea)
DarknessTrapFallPartsA (DarknessTrapKeyMoveMapParts)
DarknessTrapFallPartsB (DarknessTrapKeyMoveMapParts)
DarknessTrapFallPartsC (DarknessTrapKeyMoveMapParts)
DarknessTrapFallPartsD (DarknessTrapKeyMoveMapParts)
DarknessTrapFallPartsE (DarknessTrapKeyMoveMapParts)
DarknessTrapFallPartsF (DarknessTrapKeyMoveMapParts)
DarknessTrapFallPartsG (DarknessTrapKeyMoveMapParts)
DarknessTrapFallPartsH (DarknessTrapKeyMoveMapParts)
DarknessTrapFallPartsI (DarknessTrapKeyMoveMapParts)
DarknessTrapFallPartsJ (DarknessTrapKeyMoveMapParts)
DarknessTrapFallPartsK (DarknessTrapKeyMoveMapParts)
DarknessTrapFallPartsL (DarknessTrapKeyMoveMapParts)
DarknessTrapFallPartsM (DarknessTrapKeyMoveMapParts)
DarknessTrapFallPartsN (DarknessTrapKeyMoveMapParts)
DarknessTrapFallPartsO (DarknessTrapKeyMoveMapParts)
DarknessTrapFallPartsP (DarknessTrapKeyMoveMapParts)
DarknessTrapFallPartsQ (DarknessTrapKeyMoveMapParts)
DarknessTrapFallPartsR (DarknessTrapKeyMoveMapParts)
DarknessTrapFallPartsS (DarknessTrapKeyMoveMapParts)
DarknessTrapFallPartsT (DarknessTrapKeyMoveMapParts)
DarknessTrapFallPartsU (DarknessTrapKeyMoveMapParts)
DarknessTrapFallPartsV (DarknessTrapKeyMoveMapParts)
DarknessTrapFallPartsW (DarknessTrapKeyMoveMapParts)
DarknessTrapGas (DarknessTrapGas)
DarknessTrapGasB (KeyMoveMapParts)
DarknessTrapSeesawA (DarknessTrapSeesawParts)
DarknessTrapSeesawB (DarknessTrapSeesawParts)
DarknessTrapSeesawC (DarknessTrapSeesawParts)
DarknessTrapSeesawD (DarknessTrapSeesawParts)
DarknessTrapSeesawPoleA (DarknessTrapKeyMoveMapParts)
DarknessTrapSeesawPoleB (DarknessTrapKeyMoveMapParts)
DarknessTrapTower (DarknessTrapTower)
DarknessTrapWallA (BackHideMapParts)
DarknessTrapWallB (BackHideMapParts)
DashPanel (DashPanel)
DeathArea (Area)
DebugWarpPoint (DebugWarpPoint)
DemoActor (DemoActor)
DemoActorPlayer (DemoActorPlayer)
DemoCamera (DemoCamera)
DemoMap (DemoActor)
DemoStepA (FixMapParts)
DemoStepB (FixMapParts)
DemoStepC (FixMapParts)
DemoStepD (FixMapParts)
DepthOfFieldArea (DepthOfFieldArea)
DisappearDoorKeyArea (DisappearDoorKeyArea)
DokanSide (Dokan)
DoorLock (DoorLock)
DotKinopio (DotKinopio)
DoubleMario (DoubleMario)
DummyBossBird (DummyBossBird)
EdgeDrawArea (EdgeDrawArea)
EffectObjBonfire (EffectObj)
EffectObjBonfireBlue (EffectObj)
EffectObjButterfly (EffectObj)
EffectObjCandleFire (EffectObj)
EffectObjCityWorldPoisonA (EffectObj)
EffectObjCityWorldSteam (EffectObj)
EffectObjCloud (EffectObjAreaCube)
EffectObjDecorationSearchLight (EffectObj)
EffectObjDust (EffectObjAreaCube)
EffectObjEndingIceChillA (EffectObj)
EffectObjEndingIceChillB (EffectObj)
EffectObjEndingIceChillC (EffectObj)
EffectObjFirefly (EffectObjAreaCube)
EffectObjFireworksLoop (EffectObj)
EffectObjHaze (EffectObjAreaCube)
EffectObjIncidentLight (EffectObj)
EffectObjIncidentLightArea (EffectObjAreaCube)
EffectObjLavaWorldBubbles (EffectObj)
EffectObjLongExpressSmoke (EffectObjLongExpress)
EffectObjLongExpressSnow (EffectObj)
EffectObjLongExpressSteam (EffectObj)
EffectObjRain (EffectObjAreaCube)
EffectObjRevolverRuinsBridgeHint (EffectObj)
EffectObjRouteDokanRippleWater (EffectObj)
EffectObjSandCloud (EffectObjAreaCube)
EffectObjSaucePanBoil (EffectObj)
EffectObjScreenLensFlareRight (EffectObjFollowCamera)
EffectObjSnowfall (EffectObjAreaCube)
EffectObjSparks (EffectObjAreaCube)
EffectObjSparksBlue (EffectObjAreaCube)
EffectObjStarlitSky (EffectObjFollowCamera)
EffectObjStarlitSkyAll (EffectObjFollowCamera)
EffectObjThunder (EffectObj)
EffectObjWatchYourStepStageSnowfall (EffectObj)
EffectObjWaterFallWorldBirds (EffectObj)
EffectObjWaterFallWorldCameraWaterDrop (EffectObj)
EffectObjWaterFallWorldRay (EffectObj)
EffectObjWaterFallWorldStartStepAWaterDrop (EffectObj)
EffectObjWindFlower (EffectObjAreaCube)
EffectObjWindGrass (EffectObjAreaCube)
EffectObjWindSand (EffectObjAreaCube)
EndingDemo (StageStartEventDemo)
EnemyBattleBridgeA (GateMapParts)
EnemyBattleDoor (KeyMoveMapParts)
EnemyBattleMagma (FixMapParts)
EnemyBattleShieldA (AssistSlideMapParts)
EnemyBattleStepE (FixMapParts)
EnemyBattleStepEBuildings (FixMapParts)
EnemyChaseArea (EnemyChaseArea)
EnterCatMarioMiddleView (FixMapParts)
EnterCatMarioStepA (FixMapParts)
EnterCatMarioStepAWater (FixMapParts)
EnterCatMarioStepB (FixMapParts)
EnterCatMarioStepBCover (VisibleSwitchMapParts)
EnterCatMarioStepBWater (FixMapParts)
FallDurianGenerator (FallDurianGenerator)
FallFireBallGenerator (FallFireBallGenerator)
FallRockGenerator (FallRockGenerator)
Fish (FishColony)
FishSwimArea (FishSwimArea)
FlowerCactus (FlowerCactus)
FlowerRhythm (FlowerRhythm)
FogAnim (FogAnim)
FogRequester (FogRequester)
ForceZoomOutArea (ForceZoomOutArea)
FrameOutCtrlArea (FrameOutCtrlArea)
FreightTrainConveyerPartsA (ConveyerMapParts)
FreightTrainKeyMovePartsA (KeyMoveMapParts)
FreightTrainKeyMovePartsB (KeyMoveMapParts)
FreightTrainKeyMovePartsC (KeyMoveMapParts)
FreightTrainKeyMovePartsD (KeyMoveMapParts)
FreightTrainStep (LongExpressStepTop)
FreightTrainStepCover (VisibleSwitchMapParts)
FreshRuinsCloud (FixMapParts)
FreshRuinsStep (FixMapParts)
FreshRuinsTouchPartsA (AssistSlideMapParts)
FreshRuinsTouchPartsB (AssistSlideMapParts)
FreshRuinsTouchPartsC (AssistSlideMapParts)
FreshRuinsTouchPartsD (AssistSlideMapParts)
Gabon (Gabon)
GabonStairsDoor (KeyMoveMapParts)
GabonStairsGlass (FixMapParts)
GabonStairsKeyMovePartsA (KeyMoveMapParts)
GabonStairsKeyMovePartsB (KeyMoveMapParts)
GabonStairsScrew (FixMapParts)
GabonStairsStep (FixMapParts)
GameOverStepA (FixMapParts)
Getton (GettonHolder)
GhostPlayerChikuwaFallStepA (FixMapParts)
GhostPlayerMaze1Step (FixMapParts)
GhostPlayerMaze3StepB (FixMapParts)
GhostPlayerMaze3StepC (FixMapParts)
GhostPlayerMaze3StepD (FixMapParts)
GhostPlayerMaze3StepE (FixMapParts)
GoalAreaChecker (GoalAreaChecker)
GoalItem (GoalItem)
GoalPedestral (GoalPedestral)
GraphicsArea (GraphicsArea)
Grass (Bush)
GrassControl (GrassControl)
Ground (FixMapParts)
GroupClippingDummyTarget (GroupClippingDummyTarget)
GuideAppearPoint (GuideAppearPoint)
GuideGameWindowPoint (GuideGameWindowPoint)
Hacchin (Hacchin)
Heyho (Heyho)
HeyhoDarknessCoverA (VisibleSwitchMapParts)
HeyhoDarknessCoverB (VisibleSwitchMapParts)
HeyhoDarknessStepA (FixMapParts)
HeyhoGardenLeafA (FixMapParts)
HeyhoGardenStepA (FixMapParts)
HeyhoRail (HeyhoRail)
Kameck (Kameck)
KillerLauncher (KillerLauncher)
KillerSearchLauncher (KillerLauncher)
KillerTouchBlockMagma (FixMapParts)
KillerTouchBlockStep (FixMapParts)
KillerTouchBlockTouchSlidePartsA (AssistSlideMapParts)
KillerTouchBlockTouchSlidePartsB (AssistSlideMapParts)
KillerTouchBlockTouchSlidePartsC (AssistSlideMapParts)
KillerTouchBlockTouchSlidePartsD (AssistSlideMapParts)
KillerTouchBlockTouchSlidePartsE (AssistSlideMapParts)
KinokoDeathArea (Area)
KinokoOneUp (KinokoOneUp)
KinokoSuper (KinokoSuper)
KinokoTreasure (KinokoTreasure)
KinopioBrigadeChecker (KinopioBrigadeChecker)
KinopioMemberNpc (KinopioMemberNpc)
KinopioMemberNpcWatcher (KinopioMemberNpcWatcher)
KinopioUFO (FixMapParts)
KoopaSignBoard (KoopaSignBoard)
Kuribo (Kuribo)
KuriboClimbRail (KuriboClimbRail)
KuriboTower (KuriboTower)
KyoroHei (KyoroHei)
Ladder (Ladder)
LauncherNormal (SubjectiveCameraLauncher)
LauncherNormalStepA (FixMapParts)
LavaWorldKeyMoveParts4x12A_Big (KeyMoveMapParts)
LavaWorldKeyMoveParts4x12BB (KeyMoveMapParts)
LavaWorldKeyMoveParts4x8A_Big (KeyMoveMapParts)
LavaWorldKeyMovePartsCurve12x12AB (KeyMoveMapParts)
LavaWorldKeyMovePartsGuard4x12A (KeyMoveMapParts)
LavaWorldKeyMovePartsGuard4x12B (KeyMoveMapParts)
LavaWorldKeyMovePartsGuard4x12B_Big (KeyMoveMapParts)
LavaWorldKeyMovePartsGuard4x12C_Big (KeyMoveMapParts)
LavaWorldKeyMovePartsGuard4x12D (KeyMoveMapParts)
LavaWorldKeyMovePartsSeparate4x12ABA (KeyMoveMapParts)
LavaWorldKeyMovePartsSeparate4x12ABB (KeyMoveMapParts)
LavaWorldKeyMovePartsSeparate4x12B_Big (KeyMoveMapParts)
LavaWorldKeyMovePartsSeparateUp4x12ACC (KeyMoveMapParts)
LavaWorldKeyMovePartsSeparateUp4x12CCB (KeyMoveMapParts)
LavaWorldKeyMovePartsSlope4x12A_Big (KeyMoveMapParts)
LavaWorldKeyMovePartsSlope4x8A_Big (KeyMoveMapParts)
LavaWorldKeyMovePartsSlopeSlide4x12B_Big (KeyMoveMapParts)
LavaWorldKeyMovePartsSlopeSlide4x12CD (KeyMoveMapParts)
LavaWorldLava (FixMapParts)
LavaWorldMiddleView (Sky)
LavaWorldMiddleViewTempleA (FixMapParts)
LavaWorldMiddleViewTempleB (FixMapParts)
LavaWorldPipeInner (FixMapParts)
LavaWorldVolcano (FixMapParts)
LiftKeyMove (Lift)
LiftMike (LiftMike)
LiftMikeSlide (LiftMikeSlide)
LightArea (LightArea)
LightSetAnim (LightSetAnim)
LogForestClockParts (ClockMapParts)
LogForestStep (FixMapParts)
LogForestWater (FixMapParts)
LogForestWaterPillar (LogForestWaterPillar)
LongExpressDoorA (KeyMoveMapParts)
LongExpressDoorB (KeyMoveMapParts)
LongExpressGround (FixMapParts)
LongExpressStepA (FixMapParts)
LongExpressStepAWheel (FixMapParts)
LongExpressStepAlow (FixMapParts)
LongExpressStepB (VisibleSwitchMapParts)
LongExpressStepBCover (VisibleSwitchMapParts)
LongExpressStepC (VisibleSwitchMapParts)
LongExpressStepCCover (VisibleSwitchMapParts)
LongExpressTouchPartsA (FixMapParts)
LongExpressTouchPartsB (AssistSlideMapParts)
LongExpressTouchPartsC (AssistSlideMapParts)
LongExpressWheelA (RotateMapParts)
LongSlideCommonLeafB (TouchRotateParts)
LongSlideStepA (FixMapParts)
MagmaFish (MagmaFish)
MagmaRoadLavaA (FixMapParts)
MagmaRoadPipeInner (FixMapParts)
MagmaRoadStepA (FixMapParts)
MagmaRoadStepB (FixMapParts)
MagmaRoadStepC (FixMapParts)
MagmaRoadStepD (FixMapParts)
Maneck (Maneck)
ManeckInvalidArea (ManeckInvalidArea)
Maze (Maze)
Moamoa (MoamoaHolder)
MokingDoubleCherryPoisonA (FixMapParts)
MokingDoubleCherryStepA (FixMapParts)
MokingLeader (MokingLeader)
MoveDoorHauntedHouseBridge (GateMapParts)
MoveDoorHauntedHouseStep (FixMapParts)
MoveDoorHauntedHouseTouchPartsA (AssistSlideMapParts)
MoveDoorHauntedHouseTouchPartsB (AssistSlideMapParts)
MoveDoorHauntedHouseTouchPartsC (AssistSlideMapParts)
MultiLift (MultiLift)
NeedleBallBreakArea (NeedleBallBreakArea)
NeedleBallSlopeStepA (FixMapParts)
NeedleRollerBreakArea (NeedleRollerBreakArea)
NeedleSeed (NeedleSeed)
NeedleTrap (NeedleTrap)
Nukkun (Nukkun)
NukkunSinkTowerKeyMovePartsA (FixMapParts)
NukkunSinkTowerMagmaA (KeyMoveMapParts)
OccludedEffectRequester (OccludedEffectRequester)
OneSideStep (OneSideStep)
PackunFire (PackunFire)
PackunFlower (PackunFlower)
PackunFlowerBig (PackunFlower)
PackunFlowerWithPot (PackunFlowerWithPot)
PatanPanel (PatanPanel)
PatanPanelCarpetA (FixMapPartsCarpet)
PatanPanelStarter (PatanPanelStarter)
PatanPanelStepA (FixMapParts)
PickaxeItem (PickaxeItem)
PipePackun (PipePackun)
PipePackunJungleBridge (GateMapParts)
PipePackunJungleGrass (FixMapParts)
PipePackunJungleStep (FixMapParts)
PipePackunJungleStepWater (FixMapParts)
Player (Player)
PlayerAnimArea (PlayerAnimArea)
PlayerBindAnimObj (PlayerBindAnimObj)
PlayerCeilingCheckOffArea (PlayerCeilingCheckOffArea)
PlayerColliderBDashSupportOffArea (Area)
PlayerCollisionFallOutReturnPoint (PlayerCollisionFallOutReturnPoint)
PlayerCollisionPartsGatherArea (PlayerCollisionPartsGatherArea)
PlayerFallActionControlArea (PlayerFallActionControlArea)
PlayerFurOffArea (PlayerFurOffArea)
PlayerInvinciblePickaxeNoCollisionCheckArea (PlayerInvinciblePickaxeNoCollisionCheckArea)
PlayerRestartSetter (PlayerRestartSetter)
PlayerWetArea (PlayerWetArea)
Poster (Poster)
PrePassLineLight (PrePassLineLight)
PrePassPointLight (PrePassPointLight)
PrePassProjLight (PrePassProjLight)
PrePassProjOrthoLight (PrePassProjOrthoLight)
PrePassSpotLight (PrePassSpotLight)
Pukupuku (Pukupuku)
PullOutObj (PullOutObj)
PullOutObjAssist (PullOutObj)
PullOutObjTenCount (PullOutObj)
PullOutObjZoom (PullOutObjZoom)
PullOutRadishBigEnableArea (PullOutRadishBigEnableArea)
PullUpHeyhoPullA (GateMapParts)
PullUpHeyhoPullB (GateMapParts)
PullUpHeyhoPullC (GateMapParts)
PullUpHeyhoPullD (GateMapParts)
PullUpHeyhoPullE (GateMapParts)
PullUpHeyhoPullF (GateMapParts)
PullUpHeyhoStepA (FixMapParts)
PullUpKeyLiftA (GateMapParts)
PullUpKeyLiftB (GateMapParts)
PullUpStepA (FixMapParts)
RadishColliderInvalidArea (RadishColliderInvalidArea)
RaftRavineLiftA (GateMapParts)
RaftRavineLiftB (GateMapParts)
RaftRavineLiftC (GateMapParts)
RaftRavineLiftD (GateMapParts)
RaftRavineLiftE (GateMapParts)
RaftRavinePoisonA (FixMapParts)
RaftRavineRaft (KeyMoveMapParts)
RaftRavineStepA (FixMapParts)
RaftRavineStepACoverA (VisibleSwitchMapParts)
RaftRavineStepACoverB (VisibleSwitchMapParts)
RevolverRuinsClockPartsA (ClockMapParts)
RevolverRuinsClockPartsB (ClockMapParts)
RevolverRuinsClockPartsC (ClockMapParts)
RevolverRuinsClockPartsD (ClockMapParts)
RevolverRuinsConveyorParts (ConveyerMapParts)
RevolverRuinsLeaf (FixMapParts)
RevolverRuinsStep (FixMapParts)
RevolverRuinsStepCover (VisibleSwitchMapParts)
RevolverRuinsStepWater (FixMapParts)
RideDragon (RideDragon)
RotateHellMagma (FixMapParts)
RotateHellRotateA (RotateMapParts)
RotateHellRotateB (RotateMapParts)
RotateHellRotateC (RotateMapParts)
RotateHellRotateD (RotateMapParts)
RotateHellRotateE (RotateMapParts)
RotateHellStep (FixMapParts)
RouteDokan (RouteDokan)
RouteDokanBazooka (RouteDokanBazooka)
RouteDokanJetPipesInner (FixMapParts)
RouteDokanJetStep (FixMapParts)
RouteDokanJetStepB (FixMapParts)
RouteDokanLauncher (RouteDokanLauncher)
RouteDokanTourBonusRoomA (FixMapParts)
RouteDokanTourBonusRoomB (FixMapParts)
RouteDokanTourBonusRoomC (FixMapParts)
RouteDokanTourGoal (FixMapParts)
RouteDokanTourMiddleView (FixMapParts)
RouteDokanTourStepA (FixMapParts)
RouteDokanTourStepB (FixMapParts)
RouteDokanTourStepC (FixMapParts)
SandWorldCoverA (VisibleSwitchMapParts)
SandWorldCoverB (VisibleSwitchMapParts)
SandWorldCoverC (VisibleSwitchMapParts)
SandWorldGround (FixMapParts)
SandWorldGroundSeal (FixMapParts)
SandWorldGroundUnder (FixMapParts)
SandWorldGroundUnderCorner (FixMapParts)
SandWorldIcePillarA (FixMapParts)
SandWorldIcePillarB (FixMapParts)
SandWorldLift (KeyMoveMapParts)
SandWorldPyramid (KeyMoveMapParts)
SandWorldPyramidIceEffect (FixMapParts)
SandWorldPyramid_Bottom (KeyMoveMapParts)
SandWorldTouchPartsA (AssistSlideMapParts)
SandWorldTouchPartsB (AssistSlideMapParts)
SandWorldTouchPartsE (AssistSlideMapParts)
SandWorldTouchPartsF (AssistSlideMapParts)
ScrewRuinsStepA (FixMapParts)
ScrewRuinsStepB (FixMapParts)
SePlayArea (SePlayArea)
SePlayObj (SePlayObj)
SePlayRail (SePlayRail)
Season1IntermissionStepA (FixMapParts)
Season1IntermissionStepB (FixMapParts)
Season1IntermissionWater (FixMapParts)
Season1OpeningStepA (FixMapParts)
Season2DragonRideLave (FixMapParts)
Season2IntermissionStepA (FixMapParts)
Season2IntermissionStepALeaf (FixMapParts)
Season2IntermissionStepB (FixMapParts)
Season2IntermissionStepBLeaf (FixMapParts)
Season2OpeningStepA (FixMapParts)
Season3IntermissionStepA (FixMapParts)
Season3IntermissionStepAMashroom (FixMapParts)
Season3IntermissionStepB (FixMapParts)
Season3OpeningEchoA (EchoBlockMapParts)
Season3OpeningStepA (FixMapParts)
Season3OpeningWaterA (FixMapParts)
Seaweed (Seaweed)
Seesaw (Seesaw)
SeesawNeedleBallKeyMoveParts (KeyMoveMapParts)
SeesawNeedleBallMagma (FixMapParts)
SeesawNeedleBallStep (FixMapParts)
ShadowArea (ShadowArea)
ShadowBounds (ShadowBounds)
ShadowMask (GraphicsObjShadowMaskCube)
ShadowMaskSphere (GraphicsObjShadowMaskSphere)
ShadowTunnelBonusRoom (FixMapParts)
ShadowTunnelStepA (FixMapParts)
ShadowTunnelStepACover (VisibleSwitchMapParts)
ShadowTunnelStepB (FixMapParts)
SideWaveDesertMiddleView (FixMapParts)
SideWaveDesertSlidePartsA (SlideMapParts)
SideWaveDesertSlidePartsB (SlideMapParts)
SideWaveDesertStepA (FixMapParts)
SideWaveDesertStepAWater (FixMapParts)
SignBoardNormal (SignBoard)
SignBoardWood (SignBoard)
SignBoardWoodWall (SignBoard)
SinkSandArea (Area)
SinkedItem (SinkedItem)
SkyKinopio (Sky)
SlideParkClearParts (FixMapParts)
SlideParkPipeInner (FixMapParts)
SlideParkStepA (FixMapPartsRhythm)
SlideParkStepACoverA (VisibleSwitchMapPartsRhythm)
SlideParkWall (KeyMoveMapParts)
StageEndEventSeasonHalfDemo (StageEndEventSeasonHalfDemo)
StageStartBindDemoBossBird (StageStartBindDemoBossBird)
StageStartBindDemoBossBirdLv2 (StageStartBindDemoBossBird)
StageStartBindDemoKinopioBrigade (StageStartBindDemoKinopioBrigade)
StageStartBindDemoZoomIn (StageStartBindDemoZoomIn)
StageStartEventCamera (StageStartEventCamera)
StageStartEventSound (StageStartEventSound)
StageSwitch (StageSwitch)
StereoMapBoundsArea (Area)
SwitchAnd (SwitchAnd)
SwitchBlockWatcher (SwitchBlockWatcher)
SwitchClippingDirector (SwitchClippingDirector)
SwitchKeepOnArea (SwitchKeepOnArea)
SwitchOnArea (SwitchOnArea)
SwitchPull (SwitchPull)
SwitchRotateWatcher (SwitchRotateWatcher)
SwitchWallMazeStep (FixMapParts)
Tenten (TentenGeneratorNormal)
TentenWing (TentenGenerator)
Teren (Teren)
Teresa (Teresa)
TeresaBig (Teresa)
TeresaDarkHouseStepA (FixMapParts)
TeresaDarkHouseWallA (BackHideMapParts)
TeresaDarkHouseWallB (BackHideMapParts)
TeresaDarkHouseWallC (BackHideMapParts)
TeresaDarkHouseWallD (BackHideMapParts)
ThreeDWorldSlopeA (FixMapParts)
ThreeDWorldSlopeB (FixMapParts)
ThreeDWorldSlopeC (FixMapParts)
TimerStageSwitch (TimerStageSwitch)
ToadBrigadeFreshRuinsCloud (FixMapParts)
ToadBrigadeFreshRuinsStep (FixMapParts)
ToadBrigadeFreshRuinsTouchPartsA (AssistSlideMapParts)
ToadBrigadeFreshRuinsTouchPartsB (AssistSlideMapParts)
ToadBrigadeFreshRuinsTouchPartsC (AssistSlideMapParts)
ToadBrigadeFreshRuinsTouchPartsD (AssistSlideMapParts)
ToadBrigadeTouchBlindNeedleBallStepA (FixMapParts)
TouchBlindNeedleBallBreakPartsA (BreakMapPartsNeedleBall)
TouchBlindNeedleBallBreakPartsB (BreakMapPartsNeedleBall)
TouchBlindNeedleBallStepA (FixMapParts)
TouchBlindNeedleBallTouchSlidePartsA (AssistSlideMapParts)
TouchBlindNeedleBallTouchSlidePartsB (AssistSlideMapParts)
TouchBlindNeedleBallTouchSlidePartsC (AssistSlideMapParts)
TouchBlindNeedleBallTouchSlidePartsD (AssistSlideMapParts)
TouchBlindNeedleBallTouchSlidePartsE (AssistSlideMapParts)
TouchPuzzleMiniStep (FixMapParts)
TouchPuzzleMiniTouchPartsA (AssistSlideMapParts)
TouchPuzzleMiniTouchPartsB (AssistSlideMapParts)
TouchPuzzleTentenTouchPartsA (AssistSlideMapParts)
TouchPuzzleTentenTouchPartsB (AssistSlideMapParts)
TouchRotateFortressLava (FixMapParts)
TouchRotateFortressLiftA (KeyMoveMapParts)
TouchRotateFortressStepA (FixMapParts)
TouchRotatePanel (TouchRotatePanel)
